"Feature","Gain","Cover","Frequency"
"s_Def1_rec_1",0.00616685735181494,0.00649590002291703,0.00711204492209289
"dist_to_targeted_Def3_rec_1",0.00604145965587074,0.00785097187172565,0.00773492990219776
"dist_to_targeted_Def2_rec_4",0.00601195081526223,0.00647306022124979,0.00882265441969432
"o_Def3_rec_5",0.00596503316599924,0.00639893100211761,0.00715852887583206
"dir_rec_2",0.00582446880468498,0.00639764528394427,0.00789297534491094
"y_Def3_rec_4",0.00577780458633655,0.00667973421119942,0.00815328548585029
"y_Def2_rec_3",0.00572331405277556,0.0063906486360538,0.00766055557621509
"o_Def1_rec_5",0.00556100308322148,0.00630701941620667,0.00867390576772898
"y_Def2_rec_1",0.0054639490273729,0.00916747427380417,0.00836711167305046
"o_Def1_rec_3",0.00531271085414076,0.00644364798374369,0.00813469190435462
"s_Def2_rec_4",0.00513454591014556,0.00730453634033194,0.00776282027444126
"o_Def1_rec_1",0.00509553359103607,0.00588282223973817,0.00702837380536239
"y_Def2_rec_2",0.00507521966462289,0.00629862716883187,0.00750251013350191
"o_Def1_rec_4",0.00501326189393489,0.00759148793158233,0.00792086571715444
"s_Def3_rec_5",0.00501231052337718,0.00547895743389617,0.00751180692424975
"dir_Def3_rec_5",0.00500097460111416,0.00619650808070448,0.00738165185378007
"s_Def2_rec_5",0.00497635475422574,0.00663275244768136,0.00744672938901491
"s_Def2_rec_1",0.00494714120915498,0.0064175228258785,0.00779071064668476
"y_Def3_rec_1",0.0048947727898057,0.00716504391617189,0.00803242720612844
"o_Def2_rec_2",0.00487457689999562,0.00795490817037837,0.00769774273920643
"y_Def3_rec_3",0.0048640383560976,0.00736106323304885,0.00783719460042393
"s_Def3_rec_4",0.00481748071267457,0.0068117051260514,0.00754899408724108
"dir_Def1_rec_2",0.00477309875269369,0.00663790244361275,0.00764196199471942
"o_Def1_rec_2",0.00468093785633516,0.00606662435555261,0.00706556096835372
"o_Def3_rec_1",0.00466898238402914,0.00575744851012367,0.00717712245732773
"dist_to_targeted_Def2_rec_5",0.00456741953390081,0.00649493824986516,0.0078278978096761
"o_Def3_rec_3",0.00454863443393542,0.00581758667707045,0.00694470268863188
"dir_Def3_rec_4",0.00452897606852072,0.00575485690317152,0.0073072775277974
"dir_Def1_rec_5",0.00452631373811397,0.00453983106722426,0.00579190063590049
"o_Def3_rec_2",0.00451833831314065,0.00621270282186431,0.00731657431854524
"dir_Def1_rec_1",0.00450833293291652,0.00662911192110628,0.00867390576772898
"o_Def2_rec_4",0.00445282948576851,0.00835937089676441,0.00744672938901491
"s_Def3_rec_1",0.00441330545408157,0.00593260585433744,0.00710274813134506
"o_Def2_rec_1",0.00436120487425363,0.00694669202246357,0.00736305827228441
"dir_Def2_rec_3",0.00429633306530611,0.00668090467575705,0.00700048343311889
"dir_Def2_rec_4",0.00426501129658225,0.00555969236279938,0.00698188985162322
"o_Def2_rec_5",0.00426380986393803,0.00743997101872171,0.00755829087798892
"o_Def3_rec_4",0.00426253796210783,0.00498879005610737,0.00674017329217954
"dir_Def3_rec_3",0.00422209253256339,0.0051921666563852,0.00720501282957123
"s_Def3_rec_3",0.00420902247204268,0.00435396697788514,0.00729798073704957
"dir_Def2_rec_5",0.0041960873648162,0.00742751877646234,0.00736305827228441
